,countries,rmse,total_error
0,United Kingdom,11.991183559040907,148.5699513329273
1,Italy,162.13701180406645,1923.064569479579
2,Germany,55.30098703123064,679.7932199048217
3,Spain,19.415213902301566,219.51418144320687
4,US,953.7157280407666,-9502.406397522303
5,France,256.8169527388902,-3342.861881220718
6,Belgium,91.41273143395993,1120.4441734340292
7,"Korea, South",3.1191839586995584,38.030873507061045
8,Brazil,1602.3528277636499,-19967.09757528077
9,Iran,23.6923575276039,-74.44562340612538
10,Netherlands,40.11255075734667,501.09827486399075
11,Canada,42.545111744723414,-565.5897668746004
12,Turkey,85.44111074822662,1079.2354273720637
13,Romania,4.837928464580635,-59.64895692664021
14,Portugal,10.569151265029904,126.99043947343083
15,Sweden,24.676682580392804,300.4591326440551
16,Switzerland,22.06402952050786,275.44847194557536
17,Ireland,14.870936299192804,187.5696715701269
18,Hungary,9.789028291614752,126.4683681569485
19,Denmark,8.257689386046817,104.95359030295828
20,Austria,10.971317607810596,139.37478514297436
21,Mexico,348.1463414347523,-4093.529183981398
22,India,1706.4406784252956,22007.104122992656
23,Ecuador,6.458857208545823,-11.691531592980937
24,Russia,22.449146345240536,-262.28055429330607
25,Peru,67.18447142833112,582.4563488853346
26,Indonesia,60.74789816956974,-755.4980636502147
27,Poland,5.848224896335375,-71.3181349735342
28,Philippines,12.750598431550834,17.42649507662901
29,Japan,6.937558506268306,88.37500237875663
30,Pakistan,151.67991668640704,1875.0876442498677
