,countries,rmse,total_error
0,United Kingdom,93.62785356549512,1215.2099152857663
1,Italy,137.49581797897525,1635.4458611932682
2,Germany,72.56150688127258,908.6861123296375
3,Spain,120.06254710754853,1509.0102782744457
4,US,310.2893436852557,-386.07584471804876
5,France,131.6584420735404,1648.8756416924016
6,Belgium,74.68080779478933,907.2969872039869
7,"Korea, South",4.926563260078142,62.874870865556346
8,Brazil,1066.5870167844098,-13255.004802942462
9,Iran,49.31310910860344,649.474681091895
10,Netherlands,59.55326944830461,757.0429379799642
11,Canada,15.25934175736966,135.58852463028535
12,Turkey,102.6567925976423,1296.1587617146185
13,Romania,19.34633424989897,244.60388316644907
14,Portugal,15.388272176949627,186.89393751429262
15,Sweden,18.174089818459702,228.76721259293126
16,Switzerland,26.791753469069203,335.3340173661117
17,Ireland,15.732197538699431,199.77563384118736
18,Hungary,11.766910697675256,151.86438085412328
19,Denmark,7.540456354546552,92.31289863492464
20,Austria,9.875757531064398,125.00481639014698
21,Mexico,311.9909490710693,-3865.774801884392
22,India,421.6036764180226,-5503.9113634122605
23,Ecuador,18.975937371760683,-239.92794135366375
24,Russia,83.94272623710822,-998.265444310246
25,Peru,176.79173540686233,-2262.1604697881266
26,Indonesia,84.97983598795254,-1085.8571583548587
27,Poland,2.6471254047797133,-25.31225505900983
28,Philippines,15.132179027142644,56.31437028241868
29,Japan,7.931860994016429,100.1327908486352
30,Pakistan,69.02328355205275,808.1150985476663
