,countries,rmse,total_error
0,United Kingdom,79.57917719122781,-899.0868431819981
1,Italy,439.08824476960194,5304.835078072091
2,Germany,79.3896320568148,985.4339834793126
3,Spain,115.4092440021692,1399.0369613644457
4,US,260.8505868968187,616.7938916066996
5,France,15.306922272325698,110.24218578174361
6,Belgium,145.64020949283952,1786.000360520705
7,"Korea, South",3.585612941311723,44.71912301439846
8,Brazil,541.4154622143044,-6724.159770979466
9,Iran,167.54978325745284,-2032.8992521758319
10,Netherlands,39.48436931236499,492.02840224055393
11,Canada,133.83687720790547,1671.115584518668
12,Turkey,67.49955175382874,853.5473718010896
13,Romania,14.035814865718518,178.93765711705925
14,Portugal,13.981376637345948,169.20221399225525
15,Sweden,8.95778561857298,108.03984576855882
16,Switzerland,23.288131278800847,291.0837440082635
17,Ireland,4.920831130856822,59.352063445452195
18,Hungary,10.266793505244571,131.9631146265708
19,Denmark,6.462582507493581,82.69727680515678
20,Austria,13.62320080819683,173.70116934174092
21,Mexico,185.1652058207677,2349.2422529192772
22,India,322.37754795128683,3758.9276924310434
23,Ecuador,24.78924394485996,310.56057451048355
24,Russia,141.59971159352926,1616.793041859301
25,Peru,137.0223264249643,1405.8721418035602
26,Indonesia,4.316683922604086,-28.806705412126007
27,Poland,5.548798804885353,-70.65466842248219
28,Philippines,23.279673437005805,246.13205123973802
29,Japan,3.6004831337319545,42.3842632260927
30,Pakistan,300.3986862063417,3695.447052547822
