,countries,rmse,total_error
0,United Kingdom,14.3810927462025,183.41772425100862
1,Italy,281.56256224423413,3393.399391429932
2,Germany,82.59949218498043,1032.4827347076969
3,Spain,103.86137212502547,1292.3002927061648
4,US,255.29782160237386,2471.360878366293
5,France,181.52906222632186,2309.7020310987837
6,Belgium,77.91423085097783,946.485187891017
7,"Korea, South",5.23788768086377,66.67147807308402
8,Brazil,913.1791481008147,-11348.037359619815
9,Iran,128.78412768505407,-1573.6168326564366
10,Netherlands,51.630503700675725,655.7618541344599
11,Canada,9.685480645413724,-122.6431756800718
12,Turkey,53.25951002737321,669.0390163786599
13,Romania,19.876774659680148,250.25440250894934
14,Portugal,18.51668583899292,226.19527221842966
15,Sweden,11.100952960319178,138.99503225721637
16,Switzerland,24.02993637813261,301.7114537936789
17,Ireland,14.783193242115757,188.26709722244476
18,Hungary,11.263291527384341,144.59131524479903
19,Denmark,7.597761518148172,93.29592112353964
20,Austria,12.385220279985552,155.96807209942858
21,Mexico,265.7524047809506,-3358.715558364489
22,India,184.502843726521,-2020.2303781153187
23,Ecuador,26.520608277874974,-338.2315376999154
24,Russia,59.32135666561521,-704.0988666789904
25,Peru,222.6569001488962,-2831.4152719534213
26,Indonesia,68.18417338452453,-865.7318845422934
27,Poland,2.2883882400638687,29.856198664528904
28,Philippines,15.368016787836613,-35.81837861858395
29,Japan,6.20027067034476,75.18561096938465
30,Pakistan,38.91870292044373,380.7231504515473
