,countries,rmse,total_error
0,United Kingdom,69.17248297558156,905.8251595131005
1,Italy,890.0857629083341,10766.110146941603
2,Germany,83.19811875826241,1033.7199048178425
3,Spain,130.5051784667249,1584.5217942858949
4,US,358.3289698976335,4877.392374169169
5,France,32.82832768545431,-421.30439355503665
6,Belgium,111.75666929926027,1373.421244540846
7,"Korea, South",5.274943488332252,66.43517333929921
8,Brazil,1000.9873239919555,-12434.380230787261
9,Iran,59.77397186193774,791.2209912715389
10,Netherlands,32.80059525370651,413.89564536605934
11,Canada,96.92992492648033,1204.6531101009998
12,Turkey,77.6529314651385,980.9561277023574
13,Romania,8.933522959213775,112.27036125332057
14,Portugal,14.452667504748664,175.06680224234313
15,Sweden,23.316725848585456,286.1926243708273
16,Switzerland,25.05466418266039,314.77128267454935
17,Ireland,9.650604522458437,122.20240042424321
18,Hungary,11.624788228533351,149.70969892776276
19,Denmark,8.697582959980695,111.02803169664446
20,Austria,14.657308455023768,187.30896846262698
21,Mexico,97.28245904994216,-1174.890111409255
22,India,491.24822837501216,6184.682103176296
23,Ecuador,13.827893973258199,167.82824581847535
24,Russia,160.30503204668486,1837.6188259774349
25,Peru,39.09320641904318,224.72462267714218
26,Indonesia,33.174801315636905,-381.9496652298395
27,Poland,2.5812205791959975,-30.3997700661468
28,Philippines,16.95756848980261,87.7199301686091
29,Japan,15.448641165445009,198.79422327839407
30,Pakistan,168.18266741912234,2116.8294588591825
