,countries,rmse,total_error
0,United Kingdom,213.34741912539567,2670.10683742549
1,Italy,73.90420114748423,837.5979776911705
2,Germany,75.43458246392403,941.43591669555
3,Spain,161.03226317644916,2011.9633609039033
4,US,811.7044522081655,11147.511816603823
5,France,283.90239649656144,3643.233132924085
6,Belgium,82.47513863606365,999.9661376045326
7,"Korea, South",3.8524752951277965,48.72283929767303
8,Brazil,1001.7728925365602,-12365.913129338518
9,Iran,60.19220002209869,-653.3953691990591
10,Netherlands,72.94848584793908,919.1166439128955
11,Canada,63.90513579633733,775.5477407474821
12,Turkey,69.7097170284657,873.5096343405942
13,Romania,1.367076953444186,-10.55936632737206
14,Portugal,11.837266379772029,142.40464222555514
15,Sweden,59.32446057623344,731.7659498501995
16,Switzerland,18.091573880000674,226.88534792283886
17,Ireland,23.84749883034056,303.0557625856913
18,Hungary,7.948819612690838,101.10396647905414
19,Denmark,9.910348475004799,124.13107326744199
20,Austria,10.090768456278157,127.22046082595018
21,Mexico,257.756734906071,-2979.714119737062
22,India,1744.9173739967566,20520.193827645802
23,Ecuador,23.50651758586502,-300.1226634570571
24,Russia,113.08186643356281,-1326.1994133692028
25,Peru,176.48743198123324,-2265.7272278388846
26,Indonesia,57.85136920685165,-717.4385985658913
27,Poland,10.116359648420346,-122.63846496931006
28,Philippines,16.719101822989042,-43.454697612978464
29,Japan,5.193818533379298,67.2646741618836
30,Pakistan,205.29901966750649,2577.3735048245553
