,countries,rmse,total_error
0,United Kingdom,87.05046850196683,1135.241232152599
1,Italy,69.0855128309889,800.6200673902537
2,Germany,91.70575338628144,1142.9948889434334
3,Spain,228.2848347089099,2831.4431860548034
4,US,519.2083474518384,-4409.679577267685
5,France,110.29100266427987,1372.9526428073887
6,Belgium,76.36701965527843,923.4255264228252
7,"Korea, South",5.889417298756311,75.08392245313607
8,Brazil,174.0038304275536,-2261.343069747829
9,Iran,66.23494690311138,851.2841930034592
10,Netherlands,77.45613905946696,984.6939780228566
11,Canada,54.696646487996105,648.2423748477916
12,Turkey,47.74613857379277,601.6537458973542
13,Romania,25.79688692081031,331.61085982529477
14,Portugal,21.91668507137713,265.80456593802444
15,Sweden,20.035780213216672,252.20497846938005
16,Switzerland,31.08152093161649,387.40348761763636
17,Ireland,20.516720883476147,261.01920037356746
18,Hungary,9.205601562966095,118.54791958484533
19,Denmark,10.491338940512367,129.6108257185129
20,Austria,11.404299026335462,143.6271781353771
21,Mexico,119.7181642412735,1495.3310448580705
22,India,358.0645318048913,3953.220521903131
23,Ecuador,59.46682144938911,773.5194235265012
24,Russia,14.584256530413555,162.88385169091498
25,Peru,602.5355837973008,7124.672298145018
26,Indonesia,46.96030787199845,-587.7505576619025
27,Poland,1.2589350230679934,9.60568316600478
28,Philippines,18.372079044013503,118.76437901708863
29,Japan,7.89275925356104,90.12094337957826
30,Pakistan,230.35418135146355,2918.3220863528077
