,countries,rmse,total_error
0,United Kingdom,20.808955591346123,-135.64968582020083
1,Italy,514.2484381464296,6239.450772838657
2,Germany,57.55418579431198,720.4168682942772
3,Spain,245.9109786285475,3043.223800126298
4,US,288.03944937018224,90.67516141381202
5,France,152.32586202455772,1923.2787928651624
6,Belgium,94.90885336843868,1168.3420944794127
7,"Korea, South",4.869976317100237,60.75238833826995
8,Brazil,802.0750932351514,-10088.57746383599
9,Iran,18.949590498297365,-62.31448050262952
10,Netherlands,64.48508384082835,817.5150942637014
11,Canada,89.80899569514568,1100.6353428378118
12,Turkey,69.3034856848188,877.3000733876122
13,Romania,9.200146972220846,117.34573302174073
14,Portugal,17.07220178212853,208.71564199623245
15,Sweden,60.49177485633909,746.5746616091111
16,Switzerland,27.4222258310468,342.60204597004366
17,Ireland,18.649654930890282,237.35771106301678
18,Hungary,9.265276968381256,119.18100075362902
19,Denmark,12.322924026196974,156.42507210254985
20,Austria,15.431075093591927,197.221540842664
21,Mexico,11.842985619471643,110.99045995824781
22,India,1145.852701279243,14411.274973631464
23,Ecuador,16.442092726267877,206.13818039358284
24,Russia,92.24544128122822,1001.796603184594
25,Peru,124.91701699911344,1325.4045910447567
26,Indonesia,5.5864864812518364,-0.5528062099036788
27,Poland,6.132281919830554,-78.1706939948644
28,Philippines,25.639783889123127,260.73143298360077
29,Japan,9.423905901327469,119.21497545037978
30,Pakistan,383.0683879139386,4764.31955507487
