,countries,rmse,total_error
0,United Kingdom,10.231906473890136,25.637174072999187
1,Italy,265.85019433960167,3199.7442730062617
2,Germany,43.9574952692599,550.0549275455213
3,Spain,201.5450020008863,2508.982708215916
4,US,635.0971698752799,8777.698896181639
5,France,34.18017707077866,385.9231466550292
6,Belgium,54.13003549342404,655.6828236985214
7,"Korea, South",2.7997661763540096,33.814719078264204
8,Brazil,429.8574139944153,5096.180030163112
9,Iran,34.853314302912,-333.3514477990657
10,Netherlands,64.85644139684972,816.1044562762148
11,Canada,28.56307269687165,-381.6780714978192
12,Turkey,68.05320661586708,857.9971908206114
13,Romania,1.2668824024316527,-11.671262571914383
14,Portugal,12.807360472721907,154.20795037524604
15,Sweden,58.19280849443088,707.5803548398154
16,Switzerland,17.455756676363038,217.14381563412078
17,Ireland,18.6877233695502,236.4707298432158
18,Hungary,6.313206892688288,81.4177883581254
19,Denmark,9.413932629487327,116.31721433331597
20,Austria,10.4549063230359,130.95083211133584
21,Mexico,385.73164145927905,-4714.074937713576
22,India,1026.9295517002095,12957.372089841092
23,Ecuador,44.853352467327426,568.6479019711951
24,Russia,72.36882670312146,827.5006082647865
25,Peru,42.164711733843305,15.86580672718992
26,Indonesia,36.342389351009025,-445.1947300129217
27,Poland,10.138495133843817,-130.07994497317014
28,Philippines,15.770326938186605,65.25028200405728
29,Japan,16.357928560234168,211.5567172967737
30,Pakistan,133.60204028610232,1651.1634114453593
