,countries,rmse,total_error
0,United Kingdom,30.94622217606774,-311.5204943615827
1,Italy,423.73772088719085,5139.449494454418
2,Germany,67.21256437570668,832.7409407210397
3,Spain,145.33467333751128,1804.3700946225367
4,US,360.8201469622149,-1070.918366469581
5,France,201.701684516677,2580.460076498691
6,Belgium,121.71957858087615,1500.6321717397216
7,"Korea, South",3.2218552769816218,39.40552812405119
8,Brazil,896.7345571116352,-11179.76527552295
9,Iran,192.60183614914817,-2386.342801740954
10,Netherlands,74.43352651574494,937.9914736405029
11,Canada,27.483987543538124,291.5969272985188
12,Turkey,56.27124965295363,705.8218450635406
13,Romania,5.51556053216514,-70.09701664903213
14,Portugal,16.595782236535143,203.35756941174967
15,Sweden,58.3878715804697,740.5169309362005
16,Switzerland,29.572834851508908,370.5021925449228
17,Ireland,17.140424886722286,217.6530135446248
18,Hungary,6.484000776920872,82.53874304921062
19,Denmark,10.387867757373566,130.78470685035643
20,Austria,12.63970853399489,160.33442073862824
21,Mexico,667.7699535357717,-8084.17009033135
22,India,246.0527882706461,2753.4340693862105
23,Ecuador,31.961896427262356,-409.9292668190228
24,Russia,9.80668947670389,123.5663325814744
25,Peru,213.83450124718897,-2727.039559937046
26,Indonesia,61.10429957209315,-761.6822626402562
27,Poland,3.3706965717677955,-39.99285098907529
28,Philippines,13.763214126937763,-12.582093158014857
29,Japan,1.9550451469618901,15.138454387964675
30,Pakistan,92.22293537555879,1169.037063599678
