,countries,rmse,total_error
0,United Kingdom,77.79757223445694,-893.6324774254936
1,Italy,336.93457220328173,4075.875306935243
2,Germany,113.14934141404478,1396.368881090292
3,Spain,104.16528445559364,1290.5003513690103
4,US,605.216770309344,-4356.418670118088
5,France,82.1154884132177,1054.274326493428
6,Belgium,113.06371747288063,1368.5305579854223
7,"Korea, South",5.278903325423489,68.04012267376066
8,Brazil,1085.9834434001325,-13648.180617457441
9,Iran,196.48854006688686,-2393.6649170202636
10,Netherlands,84.67139613737142,1073.5355786465107
11,Canada,17.491622713438044,-238.19690520589273
12,Turkey,29.097041491587166,357.8148295997201
13,Romania,10.095101429650752,130.8576189008324
14,Portugal,18.22106622033596,221.7081859651502
15,Sweden,60.06408070750815,742.5516313839786
16,Switzerland,44.266899975730475,554.2744423157487
17,Ireland,22.382288944835413,285.63746367354196
18,Hungary,8.798350820318435,113.45594308193053
19,Denmark,15.100798572154961,194.61829079542798
20,Austria,13.127573133778593,165.99294066806442
21,Mexico,538.5671597810107,6599.6620745833425
22,India,1432.955449256008,17804.54989723183
23,Ecuador,38.71559637589846,503.67135060875034
24,Russia,52.72089118330161,704.6503418967591
25,Peru,22.764364740075326,-130.5526178978289
26,Indonesia,77.83218332837941,-970.9102039514711
27,Poland,6.114946724671979,-78.12237716205408
28,Philippines,12.898066954255107,-74.70232832225378
29,Japan,1.719961164263663,18.65477945855334
30,Pakistan,390.07636459024343,4967.488509865288
