,countries,rmse,total_error
0,United Kingdom,62.99327959923744,-701.7086483538515
1,Italy,351.3898125924199,4264.411018752887
2,Germany,56.91361363558288,708.8106720489749
3,Spain,208.10017915210642,2593.1381637695545
4,US,520.5624801919876,7076.270501678322
5,France,58.739961585178506,711.9277768467174
6,Belgium,44.67662633279185,547.3687942378522
7,"Korea, South",3.1993546298341817,39.024606026222784
8,Brazil,564.5443689843162,-7166.257613806203
9,Iran,154.41128056983902,-1921.7245444021864
10,Netherlands,71.44083812957217,898.40526043629
11,Canada,8.04873535392075,-106.92303182219592
12,Turkey,47.75759254189852,604.9239485921032
13,Romania,3.4187472031676283,-42.49664819134074
14,Portugal,15.037791879346447,181.20599901026847
15,Sweden,70.87211940045147,853.4162238336518
16,Switzerland,25.281754586720467,313.3531700310612
17,Ireland,16.15580000759579,204.6853918761986
18,Hungary,5.743088421794975,74.43463066092319
19,Denmark,8.418815067612886,104.30536485972647
20,Austria,9.718759355033969,121.6124324910485
21,Mexico,397.72550537346075,-4786.949393281335
22,India,906.5999124627856,11426.569050419394
23,Ecuador,23.723903344836426,293.54782695806625
24,Russia,34.0886638893115,-387.72997062685
25,Peru,48.22785527378146,-660.24639248522
26,Indonesia,38.66244183086601,-472.19948416160344
27,Poland,11.932235469668996,-153.2198379206847
28,Philippines,15.621725830115277,58.20436323235418
29,Japan,7.102069140800471,89.73827385469623
30,Pakistan,155.57913444051133,1959.115195547685
