,countries,rmse,total_error
0,United Kingdom,63.913409971549704,-718.8184790422092
1,Italy,116.0647980440843,1367.7378300216956
2,Germany,45.88799556758204,572.3668400577407
3,Spain,110.45585489238343,1371.936028253173
4,US,512.3532458514057,-2877.7748003316665
5,France,102.42794698829553,-1332.6752168689027
6,Belgium,77.08200462178618,935.0762193431522
7,"Korea, South",4.538404241259638,58.517750984216406
8,Brazil,1179.0807465970017,-14730.944937090884
9,Iran,145.45569929308706,-1749.3948464321165
10,Netherlands,67.11847498339293,851.7599772492784
11,Canada,41.14056901706681,-544.0784352782027
12,Turkey,74.99805459399434,932.5341625648769
13,Romania,13.761121908191724,178.66829660562342
14,Portugal,16.27615294636967,196.77535430864899
15,Sweden,40.51409822201079,499.0391413582644
16,Switzerland,25.936724343841313,326.072561989682
17,Ireland,24.631981754381773,313.4125165573516
18,Hungary,10.507869921602781,134.4508723421594
19,Denmark,13.301384850408255,169.90828559878054
20,Austria,10.533716490829125,133.91564466741374
21,Mexico,295.7395033879732,-3423.5542271106315
22,India,887.1921856298122,11034.30308843509
23,Ecuador,9.312696220754749,-2.849486480527503
24,Russia,62.033810010881034,-780.0972320636115
25,Peru,27.100943294830696,-242.4852375730261
26,Indonesia,48.43154149437555,-591.2866187154697
27,Poland,3.29618264865993,-41.19496451777758
28,Philippines,14.469296725974855,-102.19299711702268
29,Japan,7.142928154366543,87.58760413801208
30,Pakistan,278.5555278910193,3442.387216912185
