,countries,rmse,total_error
0,United Kingdom,94.16304599458942,1209.1058118218389
1,Italy,298.7104910997083,3598.0874510484505
2,Germany,125.57848309945433,1537.0784524416074
3,Spain,131.99151658247894,1612.0325559545167
4,US,451.47217743805345,6142.138739221984
5,France,43.10858036336466,-547.0597527634899
6,Belgium,133.9893198391468,1613.2672340660704
7,"Korea, South",2.4416962827150255,29.678927626184702
8,Brazil,1244.6163992307531,-15540.068802548813
9,Iran,177.90685974175776,-2158.6478279800604
10,Netherlands,62.506613803618684,784.4774155206854
11,Canada,32.010834882879685,352.9611769642118
12,Turkey,61.67426862408672,775.4895056394141
13,Romania,1.3517770083190694,-14.510202451851399
14,Portugal,12.1499651174838,147.11442901487956
15,Sweden,55.91647476292956,688.2347163206642
16,Switzerland,22.353142232675186,279.6328202555058
17,Ireland,16.54579130592257,209.88216219716986
18,Hungary,5.782520883296244,74.35772952094011
19,Denmark,8.454954107529066,107.64837830948028
20,Austria,12.606997189238754,160.71893443884096
21,Mexico,108.52821974221806,-1204.824820584152
22,India,101.30022226721822,-1276.5072635633223
23,Ecuador,38.20036892428155,-498.194064392414
24,Russia,347.53942559325225,4073.2672066895225
25,Peru,199.78299568953187,-2594.0675394683676
26,Indonesia,77.11207013387427,-958.2145158951838
27,Poland,7.195482565162726,-88.77891923434498
28,Philippines,17.818905621462513,-137.73639254716505
29,Japan,2.62976412659769,-33.28740547630507
30,Pakistan,55.4603533779645,690.8819172982228
