,countries,rmse,total_error
0,United Kingdom,87.3970084424463,-1014.5650862575967
1,Italy,400.93387285649624,4857.710000154647
2,Germany,151.09484074492318,1853.429934882254
3,Spain,201.5293432357768,2489.983302502091
4,US,312.1006449545175,996.6486336572852
5,France,207.11315268673738,2681.714324794081
6,Belgium,120.79522746264992,1447.2574465844739
7,"Korea, South",5.301219263352457,68.15946338895466
8,Brazil,897.0525532878574,-11158.735956634118
9,Iran,218.58877962738117,-2682.356744015484
10,Netherlands,105.1328061231217,1332.2918033282913
11,Canada,25.27196862692223,256.2003209788775
12,Turkey,45.17343258897197,562.8556132265865
13,Romania,21.335948241267047,272.63908586184135
14,Portugal,20.229848523994054,245.5844373145633
15,Sweden,86.6702028232748,1069.1995814671359
16,Switzerland,46.14804813176674,574.6989297103066
17,Ireland,23.705938264330793,302.7418585235882
18,Hungary,9.665911888335486,124.75899803153062
19,Denmark,18.23820839181744,235.0000920251096
20,Austria,22.012790641063233,279.1742401051941
21,Mexico,677.5972950391285,8348.377582234465
22,India,1695.999955157984,21185.01319453914
23,Ecuador,12.8164176817158,158.78912682311284
24,Russia,218.2006242855988,2593.5671024433864
25,Peru,90.05622698421156,872.8494540930405
26,Indonesia,71.82826269923285,-893.106366518116
27,Poland,4.8464585486921585,-61.47383413539825
28,Philippines,13.223856384431702,-80.66901372932756
29,Japan,1.7046227015078206,19.190911610455675
30,Pakistan,421.05608991498144,5356.713902839608
