,countries,rmse,total_error
0,United Kingdom,28.942845969999933,-261.1527159772777
1,Italy,208.28508575210344,2509.638686637009
2,Germany,87.79873620843291,1096.6686430968573
3,Spain,112.00697932273627,1407.8131937170715
4,US,245.9302712754449,797.2810959654234
5,France,164.84311425545,2103.070425442099
6,Belgium,80.90949948445791,981.8308070188843
7,"Korea, South",4.234577636597688,54.27603048215556
8,Brazil,951.164094128414,-11848.99024709273
9,Iran,150.15885279508979,-1841.107509529622
10,Netherlands,71.2380287039362,910.0007021365144
11,Canada,11.953383490713504,95.20601547374036
12,Turkey,52.082802685079656,658.8617043871034
13,Romania,14.815172828212447,188.4384219221725
14,Portugal,17.4214493212313,213.12433359076627
15,Sweden,36.8501430270705,468.5838369979425
16,Switzerland,24.895268210152416,313.7443629052531
17,Ireland,13.919317697293975,177.92588397954927
18,Hungary,8.4717814125149,109.33460751196533
19,Denmark,7.200714340993388,88.33541925097052
20,Austria,10.298048791169222,130.22972983466923
21,Mexico,99.95581866022258,968.9707850130108
22,India,376.78331303272904,-4930.119210868519
23,Ecuador,40.603923588315254,-522.9440387303794
24,Russia,25.24736739294105,-270.47709206457284
25,Peru,217.6267449427128,-2767.5531610759826
26,Indonesia,67.3346678492118,-854.7375546978391
27,Poland,1.929174631732996,24.358012332554893
28,Philippines,15.01858483327883,-6.701722464719808
29,Japan,1.737907807425514,3.931232467991965
30,Pakistan,80.38299070252219,944.5794513447447
