,countries,rmse,total_error
0,United Kingdom,77.97440335253597,1016.3775995261094
1,Italy,37.32223046217485,382.7591986957565
2,Germany,56.47826131755626,694.9940773778925
3,Spain,45.225914195081174,562.2500892938193
4,US,374.68986150347547,-1199.0434705801963
5,France,50.76184997410458,626.309637564823
6,Belgium,74.74229439149696,901.7352931998278
7,"Korea, South",3.424583201703848,41.830103280175564
8,Brazil,1163.4787039723246,-14472.149627003051
9,Iran,118.77306669536142,-1411.420875102459
10,Netherlands,47.74973258278793,598.8819004271821
11,Canada,59.78596075000589,690.1365558860455
12,Turkey,67.09220150906306,851.424643100838
13,Romania,0.8282787343264929,-2.773989843429206
14,Portugal,10.293999933024054,124.13858750422983
15,Sweden,44.28200617071714,544.918817230866
16,Switzerland,24.36099811930373,304.4833533933773
17,Ireland,16.86047164653609,213.69208021154685
18,Hungary,8.902994962937232,114.48711358282169
19,Denmark,9.722482632474714,123.55690905089341
20,Austria,10.467209415977507,132.76016592865125
21,Mexico,376.6468255749509,4752.5600269640345
22,India,2224.8627586671955,28482.815152773328
23,Ecuador,19.0495145734772,232.2288167353163
24,Russia,19.378368432074076,-188.42243642533458
25,Peru,125.177159394668,1287.8952364994257
26,Indonesia,23.872460187682222,-276.40771820495763
27,Poland,1.3150980008267685,-10.37646927034524
28,Philippines,14.622769455763791,91.82549556545763
29,Japan,1.2446637364519682,-14.611609916035075
30,Pakistan,338.53988825196376,4104.575992292976
