,countries,rmse,total_error
0,United Kingdom,39.38029446694841,533.8870986108886
1,Italy,86.06154785914899,1008.8190628942071
2,Germany,73.7358729276214,925.0331253643861
3,Spain,159.74442921188765,2014.1141745448535
4,US,543.0996078636342,-4129.267423275778
5,France,174.66089811575682,2217.8376759293687
6,Belgium,74.35007418138335,902.6878414842179
7,"Korea, South",5.5197554849126504,70.48205858211756
8,Brazil,1160.3668243666846,-14421.725504558286
9,Iran,92.98415121519895,-1106.8879423063854
10,Netherlands,69.28200408987396,883.5218401478595
11,Canada,27.240566668305096,299.1184087005698
12,Turkey,61.87587789122521,786.0739678251618
13,Romania,13.324765478634207,168.49174903962984
14,Portugal,16.651664653700156,203.3703472714466
15,Sweden,24.228830452592522,305.13222137003106
16,Switzerland,26.984856298235258,339.219296621111
17,Ireland,14.614295511738526,186.2343720318401
18,Hungary,10.244008307485707,132.36205195443404
19,Denmark,7.6462750915209305,93.87521667963125
20,Austria,8.778088308642769,111.41871775796683
21,Mexico,108.11961494122392,-1395.167785896254
22,India,317.6360321499508,-4081.0606560984743
23,Ecuador,24.110371713523275,-307.10237540951766
24,Russia,109.39120605735265,-1295.2501166846455
25,Peru,255.73140163223735,-3220.225055520201
26,Indonesia,67.52139630760855,-857.57559246159
27,Poland,1.2901496328106803,12.378295158189815
28,Philippines,15.71496848966528,36.190175109949166
29,Japan,1.8165529531857112,8.56337402067614
30,Pakistan,91.60531504909709,1107.9516193130914
